日付,小計,
2020/3/5,1,
2020/3/15,2,
2020/3/16,3,
2020/3/17,4,
2020/3/23,5,
2020/3/26,6,
2020/3/31,7,
2020/4/2,8,
2020/4/3,14,
2020/4/4,17,
2020/4/5,18,
2020/4/6,19,
2020/4/7,24,
2020/4/8,26,
2020/4/9,33,
2020/4/10,34,
2020/4/11,38,
2020/4/13,40,
2020/4/14,51,
2020/4/15,52,
2020/4/16,57,
2020/4/17,68,
2020/4/18,70,
2020/4/19,71,
2020/4/20,72,
2020/4/21,76,
2020/4/22,88,
2020/4/23,92,
2020/4/24,93,
2020/4/25,94,
2020/4/28,95,
2020/5/4,97,
2020/5/15,98,
2020/5/16,99,
2020/5/23,100,
2020/6/18,101,
2020/7/1,103,
2020/7/8,104,
2020/7/12,106,
2020/7/15,107,
2020/7/16,108,
2020/7/17,109,
2020/7/19,110,
2020/7/20,111,
2020/7/21,117,
2020/7/22,128,
2020/7/23,145,
2020/7/24,151,
