日付,小計,
2020/3/5,1,
2020/3/15,1,
2020/3/16,1,
2020/3/17,1,
2020/3/23,1,
2020/3/26,1,
2020/3/31,1,
2020/4/2,1,
2020/4/3,6,
2020/4/4,3,
2020/4/5,1,
2020/4/6,1,
2020/4/7,5,
2020/4/8,2,
2020/4/9,7,
2020/4/10,1,
2020/4/11,4,
2020/4/13,2,
2020/4/14,11,
2020/4/15,1,
2020/4/16,5,
2020/4/17,11,
2020/4/18,2,
2020/4/19,1,
2020/4/20,1,
2020/4/21,4,
2020/4/22,12,
2020/4/23,4,
2020/4/24,1,
2020/4/25,1,
2020/4/28,1,
2020/5/4,2,
2020/5/15,1,
2020/5/16,1,
2020/5/23,1,
2020/6/18,1,
2020/7/1,2,
2020/7/8,1,
2020/7/12,2,
2020/7/15,1,
2020/7/16,1,
2020/7/17,1,
2020/7/19,1,
2020/7/20,1,
2020/7/21,6,
2020/7/22,11,
2020/7/23,17,
2020/7/24,6,
